k1	mu	t	BS	1sig	UL	Ntri
0.005365632214453292	0.55	0.95	-15925266078.200233	3253.7693866110235	15925272585.739008	3426.0
0.007903515189167546	0.85	0.65	1055290587063.5475	21159.0021052523	1055290629381.5516	3811.0
0.007903515189167546	0.55	0.95	5977497152.948629	42067.525067729686	5977581287.998765	2376.0
0.007903515189167546	0.85	0.95	233242154183.3744	31688.92317907352	233242217561.22073	3146.0
0.011641787928948977	0.65	0.75	7188148813819.982	267589.64317152457	7188149348999.2705	3050.0
0.011641787928948977	0.95	0.75	6607388694012.306	122760.72667552861	6607388939533.761	4207.0
0.011641787928948977	0.55	0.95	5484710676115.812	350249.3012738858	5484711376614.414	2898.0
0.011641787928948977	0.75	0.95	6369991412600.463	124639.20346248223	6369991661878.87	10512.0
0.011641787928948977	0.95	0.95	8493718430.723648	106827.63405182904	8493932085.991753	24362.0
0.017148221131829972	0.75	0.65	28978189786095.797	1008534.8735189358	28978191803165.543	11586.0
0.017148221131829972	0.95	0.65	35874215342361.21	2056729.2046928662	35874219455819.61	4052.0
0.017148221131829972	0.65	0.75	23782494818168.707	2117299.589231527	23782499052767.89	11932.0
0.017148221131829972	0.75	0.75	17220513025501.947	959112.9152557119	17220514943727.773	32944.0
0.017148221131829972	0.85	0.75	44457616821610.83	1130845.19722113	44457619083301.23	11290.0
0.017148221131829972	0.95	0.75	39533332976071.88	1796044.3534832404	39533336568160.6	4227.0
0.017148221131829972	0.65	0.85	39518635340096.85	1467160.441923021	39518638274417.75	18698.0
0.017148221131829972	0.75	0.85	28239267521969.86	950442.3408074366	28239269422854.535	24103.0
0.017148221131829972	0.85	0.85	27682446031523.332	962791.4019713798	27682447957106.133	33075.0
0.017148221131829972	0.95	0.85	39782165223163.06	714272.9622902402	39782166651708.99	35951.0
0.017148221131829972	0.55	0.95	26004048041641.215	1444042.7680600055	26004050929726.746	23964.0
0.017148221131829972	0.65	0.95	27788589617028.41	682296.0906310817	27788590981620.59	41188.0
0.017148221131829972	0.75	0.95	26107112109690.844	1194419.1271810082	26107114498529.094	32326.0
0.017148221131829972	0.85	0.95	13549146634767.994	1463380.660556346	13549149561529.32	28988.0
0.017148221131829972	0.95	0.95	7701469651221.389	791051.467010851	7701471233324.322	30640.0
